"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-01","0.04",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-02","0.71",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-03","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-04","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-05","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-06","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-07","0.22","3.2","3.2"
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-08","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-09","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-10","0.21",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-11","0.00",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-12","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-13","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-14","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-15","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-16","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-17","1.30","2.5",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-18","0.01",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-19","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-20","0.17",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-21","0.04","0.5",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-22","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-23","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-24","0.04","0.4",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-25","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-26","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-27","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-28","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-29","0.04","1.1",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-30","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-01-31","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-01","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-02","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-03","0.10",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-04","1.90",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-05","0.17",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-06","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-07","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-08","0.00",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-09","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-10","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-11","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-12","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-13","0.19","4.5",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-14","0.00",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-15","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-16","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-17","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-18","0.54",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-19","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-20","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-21","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-22","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-23","0.30",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-24","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-25","0.46",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-26","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-27","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-02-28","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-01","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-02","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-03","0.13",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-04","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-05","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-06","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-07","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-08","0.18",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-09","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-10","0.52","0.3",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-11","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-12","0.05",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-13","0.25","3.5",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-14","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-15","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-16","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-17","0.05",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-18","0.24",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-19","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-20","0.09",,
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-21","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-22","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-23","0.00","0.0",
"US1PABR0012","KUTZTOWN 2.2 NNE, PA US","2022-03-24","0.42",,
